Disaster Type,Disaster Subtype,Country,Region,Continent,Start Year,Start Month,Dis Mag Value,Dis Mag Scale,Total Deaths,Total Affected,Severity
Wildfire,Forest fire,Canada,Northern America,Americas,1922,9.0,5179.0,Km2,43.0,11000.0,2
Storm,Tropical cyclone,China,Eastern Asia,Asia,1922,7.0,,Kph,100000.0,0.0,2
Epidemic,Viral disease,Anguilla,Caribbean,Americas,1923,1.0,,Vaccinated,0.0,0.0,0
Storm,Tropical cyclone,Bangladesh,Southern Asia,Asia,1923,5.0,,Kph,6.0,25000.0,1
Earthquake,Ground movement,China,Eastern Asia,Asia,1923,3.0,7.0,Richter,5000.0,0.0,1
Storm,Tropical cyclone,Hong Kong,Eastern Asia,Asia,1923,8.0,,Kph,100.0,0.0,1
Earthquake,Ground movement,Ecuador,South America,Americas,1924,3.0,7.0,Richter,40.0,0.0,0
Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,1924,12.0,,Richter,727.0,11250.0,2
Storm,Tropical cyclone,India,Southern Asia,Asia,1924,9.0,,Kph,1242.0,1000000.0,2
Epidemic,Bacterial disease,India,Southern Asia,Asia,1924,,,Vaccinated,300000.0,0.0,2
Earthquake,Ground movement,China,Eastern Asia,Asia,1925,3.0,7.0,Richter,5000.0,0.0,1
Flood,,Germany Fed Rep,Western Europe,Europe,1925,12.0,,Km2,0.0,0.0,0
Storm,Tropical cyclone,India,Southern Asia,Asia,1925,5.0,,Kph,80.0,0.0,0
Flood,Riverine flood,Belgium,Western Europe,Europe,1926,,,Km2,0.0,0.0,0
Storm,Tropical cyclone,Bangladesh,Southern Asia,Asia,1926,5.0,,Kph,0.0,0.0,0
Storm,Tropical cyclone,Bahamas (the),Caribbean,Americas,1926,7.0,,Kph,0.0,0.0,0
Landslide,Landslide,Colombia,South America,Americas,1926,11.0,,,100.0,0.0,1
Storm,Tropical cyclone,Cuba,Caribbean,Americas,1926,10.0,,Kph,600.0,0.0,1
Flood,,Germany Fed Rep,Western Europe,Europe,1926,6.0,,Km2,0.0,0.0,0
Earthquake,Ground movement,Egypt,Northern Africa,Africa,1926,6.0,,Richter,12.0,0.0,0
Landslide,Mudslide,France,Western Europe,Europe,1926,11.0,,,28.0,0.0,0
Flood,Riverine flood,India,Southern Asia,Asia,1926,7.0,,Km2,0.0,0.0,0
Epidemic,Viral disease,India,Southern Asia,Asia,1926,,,Vaccinated,423000.0,0.0,2
Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,1927,12.0,6.0,Richter,50.0,50.0,1
Earthquake,Ground movement,China,Eastern Asia,Asia,1927,5.0,8.0,Richter,40912.0,133894.0,3
Storm,Tropical cyclone,China,Eastern Asia,Asia,1927,9.0,,Kph,5000.0,0.0,1
Flood,,Algeria,Northern Africa,Africa,1927,11.0,,Km2,3000.0,0.0,1
Storm,Tropical cyclone,India,Southern Asia,Asia,1927,7.0,,Kph,56.0,40010.0,2
Storm,Tropical cyclone,India,Southern Asia,Asia,1927,11.0,,Kph,629.0,0.0,1
Flood,,Belgium,Western Europe,Europe,1928,,,Km2,0.0,6000.0,1
Earthquake,Ground movement,Bulgaria,Eastern Europe,Europe,1928,4.0,,Richter,107.0,0.0,1
Earthquake,Tsunami,Canada,Northern America,Americas,1928,11.0,7.0,Richter,27.0,0.0,0
Earthquake,Ground movement,Chile,South America,Americas,1928,,,Richter,220.0,0.0,1
Drought,Drought,China,Eastern Asia,Asia,1928,,,Km2,3000000.0,0.0,2
Storm,Tropical cyclone,Guadeloupe,Caribbean,Americas,1928,9.0,,Kph,2000.0,0.0,1
Earthquake,Ground movement,Greece,Southern Europe,Europe,1928,,,Richter,103.0,0.0,1
